,date,hour,sentiment,rank_score,sentimenttitle,sentimenttext,datetime
63,2020-09-12,3,1.0,2.8674999999999997,1.25,0.5,2020-09-12 3:00:00
64,2020-09-12,4,1.0,2.606,0.0,0.0,2020-09-12 4:00:00
65,2020-09-12,5,0.875,2.91,0.125,0.375,2020-09-12 5:00:00
66,2020-09-12,6,1.0,2.92,0.0,0.5,2020-09-12 6:00:00
67,2020-09-12,7,0.3333333333333333,4.04,0.0,1.0,2020-09-12 7:00:00
68,2020-09-12,8,0.75,2.435,0.0,0.5,2020-09-12 8:00:00
69,2020-09-12,9,1.0,3.5700000000000003,1.0,0.5,2020-09-12 9:00:00
70,2020-09-12,10,1.0,2.5824999999999996,0.0,0.0,2020-09-12 10:00:00
71,2020-09-12,12,1.0,2.92,0.0,0.0,2020-09-12 12:00:00
72,2020-09-12,13,1.2,2.7640000000000002,0.0,0.6,2020-09-12 13:00:00
73,2020-09-12,14,1.5,4.035,0.0,1.0,2020-09-12 14:00:00
74,2020-09-12,15,2.0,3.75,2.0,2.0,2020-09-12 15:00:00
75,2020-09-12,16,2.0,2.02,2.0,0.0,2020-09-12 16:00:00
76,2020-09-12,17,0.5,2.85,0.0,1.0,2020-09-12 17:00:00
77,2020-09-12,18,1.0,2.02,0.0,0.0,2020-09-12 18:00:00
78,2020-10-11,23,1.6,2.6979999999999995,0.8,1.0,2020-10-11 23:00:00
79,2020-10-12,0,1.0,3.145,0.0,0.0,2020-10-12 0:00:00
80,2020-10-12,1,1.2857142857142858,2.47,0.2857142857142857,0.14285714285714285,2020-10-12 1:00:00
81,2020-10-12,2,1.3333333333333333,2.3200000000000003,0.0,1.0,2020-10-12 2:00:00
82,2020-10-12,3,1.5,3.145,0.0,0.0,2020-10-12 3:00:00
83,2020-10-12,4,1.1666666666666667,2.9716666666666662,0.3333333333333333,0.0,2020-10-12 4:00:00
84,2020-10-12,5,1.0,2.657142857142857,0.0,0.14285714285714285,2020-10-12 5:00:00
85,2020-10-12,6,1.0,2.5500000000000003,0.0,0.0,2020-10-12 6:00:00
86,2020-10-12,7,0.5,2.32,0.16666666666666666,0.6666666666666666,2020-10-12 7:00:00
87,2020-10-12,8,1.0,2.235,0.25,0.25,2020-10-12 8:00:00
