high,low,open,volumeto,close,sentiment,rank_score,realbody,trend1,trend2,close_forward,MorningStar,MorningStar_good,MorningStar_bad,EveningStar,EveningStar_good,EveningStar_bad
158.41,158.0,158.39,3194323.78,158.14,2.0,4.29,-0.25,1.0,1.0,158.57,0.0,0.0,0.0,2.0,0.0,1.0
157.9,157.35,158.14,3348226.6,157.35,2.0,4.29,-0.789999999999992,1.0,1.0,159.31,0.0,0.0,0.0,0.0,0.0,0.0
157.24,156.21,157.35,8991276.11,156.97,2.0,4.29,-0.37999999999999545,-1.0,1.0,160.12,0.0,0.0,0.0,0.0,0.0,0.0
156.77,155.89,156.97,9383007.09,156.64,2.0,4.29,-0.3300000000000125,-1.0,-1.0,161.44,0.0,0.0,0.0,0.0,0.0,0.0
158.59,158.11,156.64,5268736.19,158.11,2.0,4.29,1.4700000000000273,-1.0,-1.0,159.81,0.0,0.0,0.0,0.0,0.0,0.0
157.83,156.53,158.11,7278308.86,156.67,2.0,4.29,-1.4400000000000261,-1.0,-1.0,160.6,0.0,0.0,0.0,0.0,0.0,0.0
157.19,156.71,156.67,5765224.79,157.12,2.0,4.29,0.45000000000001705,-1.0,-1.0,160.35,0.0,0.0,0.0,0.0,0.0,0.0
157.64,157.03,157.12,4111482.05,157.44,2.0,4.29,0.3199999999999932,1.0,-1.0,159.22,1.0,1.0,0.0,0.0,0.0,0.0
159.06,158.44,157.44,6778553.99,158.57,2.0,4.29,1.1299999999999955,1.0,1.0,159.09,0.0,0.0,0.0,0.0,0.0,0.0
161.63,158.34,158.51,11236213.6,159.31,2.0,4.29,0.8000000000000114,1.0,1.0,159.71,0.0,0.0,0.0,0.0,0.0,0.0
160.81,159.18,159.31,4418881.13,160.12,2.0,4.29,0.8100000000000023,1.0,1.0,158.64,0.0,0.0,0.0,0.0,0.0,0.0
161.72,160.74,160.14,14025568.78,161.44,2.0,4.29,1.3000000000000114,1.0,1.0,157.15,0.0,0.0,0.0,0.0,0.0,0.0
160.78,159.6,161.44,8934376.24,159.81,2.0,4.29,-1.6299999999999955,1.0,1.0,158.79,0.0,0.0,0.0,2.0,0.0,1.0
160.81,159.56,159.81,8883144.01,160.6,2.0,4.29,0.789999999999992,1.0,1.0,160.1,0.0,0.0,0.0,0.0,0.0,0.0
160.83,160.21,160.6,6712167.14,160.35,2.0,4.29,-0.25,1.0,1.0,160.49,0.0,0.0,0.0,0.0,0.0,0.0
159.77,158.95,160.35,15398634.99,159.22,2.0,4.29,-1.1299999999999955,-1.0,1.0,160.02,0.0,0.0,0.0,0.0,0.0,0.0
159.23,158.61,159.22,5411154.12,159.09,2.0,4.29,-0.12999999999999545,-1.0,-1.0,160.8,0.0,0.0,0.0,0.0,0.0,0.0
160.26,159.51,159.09,6321045.17,159.71,2.0,4.29,0.6200000000000045,-1.0,-1.0,160.12,0.0,0.0,0.0,0.0,0.0,0.0
159.6,158.36,159.71,7974436.84,158.64,2.0,4.29,-1.0700000000000216,-1.0,-1.0,159.7,0.0,0.0,0.0,0.0,0.0,0.0
157.91,156.47,158.64,15038083.54,157.15,2.0,4.29,-1.4899999999999807,-1.0,-1.0,158.73,0.0,0.0,0.0,0.0,0.0,0.0
158.79,157.89,157.15,8165746.78,158.79,2.0,4.29,1.6399999999999864,-1.0,-1.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0
160.1,159.2,158.79,7792344.96,160.1,2.0,4.29,1.3100000000000023,-1.0,-1.0,157.73,2.0,0.0,1.0,0.0,0.0,0.0
160.49,159.94,160.1,4739595.6,160.49,2.0,4.29,0.3900000000000148,1.0,1.0,157.71,0.0,0.0,0.0,0.0,0.0,0.0
160.64,159.95,160.49,7123157.57,160.02,2.0,4.29,-0.46999999999999886,1.0,1.0,156.21,0.0,0.0,0.0,0.0,0.0,0.0
160.8,160.17,160.02,5335256.61,160.8,2.0,4.29,0.7800000000000011,1.0,1.0,156.87,0.0,0.0,0.0,0.0,0.0,0.0
160.81,160.05,160.8,6636710.67,160.12,2.0,4.29,-0.6800000000000068,1.0,1.0,157.08,0.0,0.0,0.0,0.0,0.0,0.0
159.77,159.22,160.12,4703736.18,159.7,2.0,4.29,-0.4200000000000159,1.0,1.0,155.92,0.0,0.0,0.0,0.0,0.0,0.0
159.42,158.59,159.7,6082314.93,158.73,2.0,4.29,-0.9699999999999989,-1.0,-1.0,157.08,0.0,0.0,0.0,0.0,0.0,0.0
