time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2017-02-26 13:00:00,1162.91,1158.21,1155.16,750.13,873531.49,1161.49,direct,
2017-02-26 14:00:00,1159.3,1154.1,1161.49,934.26,1084753.43,1155.33,direct,
2017-02-26 15:00:00,1167.88,1164.48,1155.33,717.16,840583.06,1166.11,direct,
2017-02-26 16:00:00,1175.94,1163.59,1166.11,3352.68,3936906.25,1173.92,direct,
2017-02-26 17:00:00,1177.03,1164.08,1173.92,2412.57,2837301.54,1166.49,direct,
2017-02-26 18:00:00,1173.79,1164.03,1166.49,1342.6,1576522.66,1166.5,direct,
2017-02-26 19:00:00,1166.6,1160.07,1166.5,907.33,1061555.12,1161.33,direct,
2017-02-26 20:00:00,1170.77,1157.75,1161.33,1133.31,1323819.32,1164.55,direct,
2017-02-26 21:00:00,1176.13,1156.21,1164.55,1220.88,1425097.46,1174.83,direct,
2017-02-26 22:00:00,1171.78,1164.63,1174.83,726.42,853245.26,1170.07,direct,
2017-02-26 23:00:00,1177.33,1171.23,1170.07,862.47,1015397.79,1175.34,direct,
2017-02-27 00:00:00,1186.45,1172.35,1175.34,2406.92,2852182.4,1183.43,direct,
2017-02-27 01:00:00,1187.74,1182.48,1183.43,1566.11,1861953.05,1187.14,direct,
2017-02-27 02:00:00,1185.91,1177.76,1187.14,1119.74,1327992.19,1180.03,direct,
2017-02-27 03:00:00,1180.63,1172.67,1180.03,932.1,1101740.15,1177.81,direct,
2017-02-27 04:00:00,1181.15,1175.65,1177.81,996.43,1178443.37,1178.26,direct,
2017-02-27 05:00:00,1182.1,1166.74,1178.26,1699.82,2000457.64,1174.93,direct,
2017-02-27 06:00:00,1177.04,1170.02,1174.93,1165.91,1372972.16,1175.25,direct,
2017-02-27 07:00:00,1173.67,1167.79,1175.25,843.84,993811.86,1172.17,direct,
2017-02-27 08:00:00,1174.86,1166.43,1172.17,1270.21,1491809.9,1168.12,direct,
2017-02-27 09:00:00,1179.2,1170.69,1168.12,1141.34,1346091.64,1177.77,direct,
2017-02-27 10:00:00,1177.63,1172.49,1177.77,927.45,1093048.27,1175.8,direct,
2017-02-27 11:00:00,1175.08,1167.23,1175.8,809.95,950754.98,1171.2,direct,
2017-02-27 12:00:00,1181.32,1167.36,1171.2,2046.7,2406388.76,1175.78,direct,
2017-02-27 13:00:00,1177.83,1172.19,1175.78,1077.19,1267750.46,1175.15,direct,
2017-02-27 14:00:00,1182.18,1176.83,1175.15,1065.38,1257660.1,1180.99,direct,
2017-02-27 15:00:00,1182.07,1176.59,1180.99,990.44,1169890.8,1179.95,direct,
2017-02-27 16:00:00,1193.21,1178.31,1179.95,3845.46,4578697.07,1192.25,direct,
2017-02-27 17:00:00,1196.17,1188.21,1192.25,2781.25,3320114.87,1191.03,direct,
2017-02-27 18:00:00,1195.13,1189.12,1191.03,1101.81,1313910.53,1192.43,direct,
2017-02-27 19:00:00,1193.51,1187.63,1192.43,760.45,906753.07,1190.67,direct,
2017-02-27 20:00:00,1194.27,1183.28,1190.67,1886.64,2245945.65,1188.84,direct,
2017-02-27 21:00:00,1193.76,1186.87,1188.84,2205.49,2624479.66,1192.34,direct,
2017-02-27 22:00:00,1192.98,1186.83,1192.34,1188.22,1417221.14,1189.03,direct,
2017-02-27 23:00:00,1192.82,1186.02,1189.03,1639.98,1955296.91,1190.77,direct,
2017-02-28 00:00:00,1201.47,1189.66,1190.77,4643.41,5566518.86,1200.26,direct,
2017-02-28 01:00:00,1204.74,1199.43,1200.26,1818.95,2190538.38,1203.47,direct,
