time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2021-11-23 22:00:00,57743.16,57479.62,57706.05,562.5,32421294.46,57587.76,direct,
2021-11-23 23:00:00,57759.09,57498.3,57587.76,599.4,34541528.51,57566.6,direct,
2021-11-24 00:00:00,57740.34,57520.29,57566.6,542.87,31281049.63,57544.24,direct,
2021-11-24 01:00:00,57591.12,57042.48,57544.24,1362.97,78118213.55,57057.76,direct,
2021-11-24 02:00:00,57126.94,56172.37,57057.76,2131.02,120497534.13,56249.72,direct,
2021-11-24 03:00:00,56484.02,56247.72,56249.72,1441.05,81250788.53,56422.64,direct,
2021-11-24 04:00:00,56769.22,56379.0,56422.64,705.73,39925405.04,56582.61,direct,
2021-11-24 05:00:00,56805.0,56511.23,56582.61,926.04,52468025.14,56627.63,direct,
2021-11-24 06:00:00,56739.03,56265.97,56627.63,738.76,41738603.56,56623.24,direct,
2021-11-24 07:00:00,56718.54,56426.71,56623.24,997.21,56403258.84,56527.49,direct,
2021-11-24 08:00:00,57392.15,56424.47,56527.49,1734.88,98668441.85,56893.71,direct,
2021-11-24 09:00:00,57009.67,56676.01,56893.71,808.18,45954125.62,56701.22,direct,
2021-11-24 10:00:00,56880.34,56441.58,56701.22,727.97,41241924.27,56449.86,direct,
2021-11-24 11:00:00,56772.11,56361.39,56449.86,743.08,42028816.0,56647.96,direct,
2021-11-24 12:00:00,56729.65,56429.61,56647.96,783.46,44306372.39,56458.86,direct,
2021-11-24 13:00:00,56868.25,56049.37,56458.86,1769.95,99843728.83,56059.51,direct,
2021-11-24 14:00:00,56342.87,55899.88,56059.51,2305.43,129322825.75,56151.17,direct,
2021-11-24 15:00:00,57164.48,56105.18,56151.17,1972.23,111573659.53,56773.75,direct,
2021-11-24 16:00:00,56876.51,56597.52,56773.75,1312.5,74457257.81,56632.02,direct,
2021-11-24 17:00:00,56785.67,56508.12,56632.02,906.18,51318718.7,56554.62,direct,
2021-11-24 18:00:00,57125.1,56537.1,56554.62,1326.73,75424207.2,56816.94,direct,
2021-11-24 19:00:00,56905.63,56607.5,56816.94,954.99,54228467.55,56867.31,direct,
2021-11-24 20:00:00,57449.21,56759.41,56867.31,1613.92,92158452.14,57436.36,direct,
2021-11-24 21:00:00,57492.32,57233.91,57436.36,1105.31,63396184.72,57328.44,direct,
2021-11-24 22:00:00,57428.01,56893.33,57328.44,873.64,49935274.32,57015.67,direct,
2021-11-24 23:00:00,57245.43,56999.7,57015.67,954.04,54475738.61,57175.09,direct,
2021-11-25 00:00:00,58273.7,57141.88,57175.09,1967.76,113665754.13,58040.3,direct,
2021-11-25 01:00:00,58277.71,57754.11,58040.3,993.74,57617425.85,57770.98,direct,
2021-11-25 02:00:00,57869.1,57540.12,57770.98,940.56,54236081.73,57743.47,direct,
2021-11-25 03:00:00,57816.54,57608.9,57743.47,536.68,30976567.88,57767.99,direct,
2021-11-25 04:00:00,57825.85,57210.3,57767.99,1078.93,61984862.66,57275.86,direct,
2021-11-25 05:00:00,57316.42,57056.64,57275.86,766.98,43853665.42,57147.49,direct,
2021-11-25 06:00:00,57381.09,57118.47,57147.49,980.56,56162466.49,57295.08,direct,
2021-11-25 07:00:00,57746.07,57294.94,57295.08,662.78,38145645.48,57692.48,direct,
2021-11-25 08:00:00,57955.52,57619.12,57692.48,629.56,36380683.25,57622.68,direct,
2021-11-25 09:00:00,57828.9,57393.14,57622.68,711.04,40939028.58,57799.44,direct,
