time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2017-05-04 06:00:00,86.97,84.98,85.43,27206.42,2365498.04,85.6,direct,
2017-05-04 07:00:00,85.39,83.79,85.6,20035.06,1725796.88,85.08,direct,
2017-05-04 08:00:00,85.88,83.98,84.59,48652.44,4102310.5,84.32,multiply,BTC
2017-05-04 09:00:00,85.5,83.9,84.32,36612.96,3124955.93,85.35,multiply,BTC
2017-05-04 10:00:00,87.67,84.63,85.35,83369.56,7202780.46,86.4,multiply,BTC
2017-05-04 11:00:00,87.16,85.8,86.4,70551.31,6096543.34,86.41,multiply,BTC
2017-05-04 12:00:00,87.01,84.77,86.41,65372.92,5571668.48,85.23,multiply,BTC
2017-05-04 13:00:00,88.37,86.68,86.74,24175.53,2143713.79,88.06,direct,
2017-05-04 14:00:00,88.82,87.57,88.06,24320.46,2170155.3,88.78,direct,
2017-05-04 15:00:00,91.25,88.9,88.78,78661.86,7201443.78,90.47,direct,
2017-05-04 16:00:00,91.22,89.35,90.47,36684.08,3341599.46,89.91,direct,
2017-05-04 17:00:00,90.46,85.69,87.42,92955.81,8196094.59,88.17,multiply,BTC
2017-05-04 18:00:00,92.06,89.91,89.84,38241.14,3525702.09,91.51,direct,
2017-05-04 19:00:00,90.83,85.5,90.14,171959.43,15328368.58,89.14,multiply,BTC
2017-05-04 20:00:00,90.47,86.55,89.55,52020.06,4680453.89,87.19,direct,
2017-05-04 21:00:00,89.8,86.11,87.19,64164.03,5703157.55,89.7,direct,
2017-05-04 22:00:00,93.55,87.78,88.33,127382.3,11894998.36,93.38,multiply,BTC
2017-05-04 23:00:00,96.19,91.63,93.38,188450.89,17677973.46,93.81,multiply,BTC
2017-05-05 00:00:00,96.34,93.58,94.39,46297.56,4485612.14,95.72,direct,
2017-05-05 01:00:00,96.04,92.78,94.47,87734.58,8167050.45,93.09,multiply,BTC
2017-05-05 02:00:00,93.17,91.5,93.09,63346.67,5884777.52,92.9,multiply,BTC
