high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,realbody,trend1,trend2,MorningStar,MorningStar_good,MorningStar_bad,EveningStar,EveningStar_good,EveningStar_bad
212.01,209.58,209.94,60460.51,12738922.56,210.06,direct,,0.12000000000000455,-1.0,-1.0,0.0,0,0,0.0,0,0
210.6,207.53,210.06,83989.55,17551639.81,207.85,direct,,-2.210000000000008,-1.0,-1.0,0.0,0,0,0.0,0,0
209.16,207.05,207.85,70373.75,14628626.71,207.05,direct,,-0.799999999999983,-1.0,-1.0,0.0,0,0,0.0,0,0
207.7,205.78,207.05,71602.44,14805059.57,206.15,direct,,-0.9000000000000057,-1.0,-1.0,0.0,0,0,0.0,0,0
207.17,205.42,206.15,70180.17,14472036.41,205.76,direct,,-0.3900000000000148,-1.0,-1.0,0.0,0,0,0.0,0,0
207.2,204.54,205.76,74623.03,15343806.46,204.82,direct,,-0.9399999999999977,-1.0,-1.0,0.0,0,0,0.0,0,0
205.1,203.75,204.82,97590.48,19940245.05,204.05,direct,,-0.7699999999999818,-1.0,-1.0,0.0,0,0,0.0,0,0
204.77,202.69,204.05,87128.8,17730596.34,203.46,direct,,-0.5900000000000034,-1.0,-1.0,0.0,0,0,0.0,0,0
203.56,199.87,203.46,183341.84,36903220.63,201.31,direct,,-2.1500000000000057,-1.0,-1.0,2.0,0,1,0.0,0,0
201.35,185.48,201.31,809795.64,154672179.45,190.57,direct,,-10.740000000000009,-1.0,-1.0,0.0,0,0,0.0,0,0
192.43,188.31,190.57,338386.55,64492646.5,189.3,direct,,-1.2699999999999818,-1.0,-1.0,0.0,0,0,0.0,0,0
189.38,186.39,189.3,198061.54,37273409.53,186.63,direct,,-2.670000000000016,-1.0,-1.0,0.0,0,0,0.0,0,0
190.42,184.36,186.63,274935.83,51398574.96,185.29,direct,,-1.3400000000000034,-1.0,-1.0,0.0,0,0,0.0,0,0
191.92,182.81,185.29,325311.37,61084038.05,191.62,direct,,6.3300000000000125,-1.0,-1.0,0.0,0,0,0.0,0,0
196.79,190.11,191.62,268853.4,51895896.1,196.74,direct,,5.1200000000000045,-1.0,-1.0,0.0,0,0,0.0,0,0
198.31,195.22,196.74,224378.76,44109133.71,196.05,direct,,-0.6899999999999977,1.0,-1.0,0.0,0,0,0.0,0,0
196.05,192.42,196.05,217054.24,42036380.39,192.77,direct,,-3.280000000000001,1.0,1.0,0.0,0,0,0.0,0,0
194.5,190.3,192.77,243707.68,46893092.56,193.39,direct,,0.6199999999999761,1.0,1.0,0.0,0,0,0.0,0,0
197.12,193.22,193.39,209721.62,40955026.42,194.81,direct,,1.420000000000016,1.0,1.0,0.0,0,0,0.0,0,0
195.84,192.73,194.81,128677.26,24988822.44,194.8,direct,,-0.009999999999990905,1.0,1.0,0.0,0,0,0.0,0,0
198.52,194.24,194.8,134182.57,26439107.89,197.97,direct,,3.1699999999999875,1.0,1.0,0.0,0,0,0.0,0,0
200.29,196.06,197.97,156839.39,31055086.37,199.82,direct,,1.8499999999999943,1.0,1.0,0.0,0,0,0.0,0,0
200.83,195.91,199.82,128777.52,25582454.9,195.94,direct,,-3.8799999999999955,1.0,1.0,2.0,0,1,0.0,0,0
198.46,193.54,195.94,101232.16,19837117.03,193.89,direct,,-2.0500000000000114,1.0,1.0,0.0,0,0,0.0,0,0
195.64,190.88,193.89,139882.17,27015829.68,192.24,direct,,-1.6499999999999773,-1.0,-1.0,0.0,0,0,0.0,0,0
196.41,191.23,192.24,117888.66,22897749.72,194.06,direct,,1.8199999999999932,-1.0,-1.0,0.0,0,0,0.0,0,0
194.62,192.01,194.06,83456.5,16162304.74,194.29,direct,,0.22999999999998977,-1.0,-1.0,0.0,0,0,0.0,0,0
195.38,192.78,194.29,71589.81,13919212.86,194.91,direct,,0.6200000000000045,-1.0,-1.0,0.0,0,0,0.0,0,0
196.23,193.93,194.91,68079.92,13295319.04,195.57,direct,,0.6599999999999966,1.0,-1.0,0.0,0,0,0.0,0,0
198.33,194.07,195.57,108329.55,21319685.31,197.95,direct,,2.3799999999999955,1.0,1.0,0.0,0,0,0.0,0,0
198.44,193.93,197.95,69721.6,13682274.17,193.97,direct,,-3.9799999999999898,1.0,1.0,0.0,0,0,2.0,0,1
195.31,193.51,193.97,49940.85,9710809.33,193.75,direct,,-0.21999999999999886,1.0,1.0,0.0,0,0,0.0,0,0
194.65,192.79,193.75,64236.0,12440138.97,194.42,direct,,0.6699999999999875,-1.0,-1.0,0.0,0,0,0.0,0,0
198.45,194.35,194.42,105278.19,20730909.33,196.63,direct,,2.210000000000008,-1.0,1.0,0.0,0,0,0.0,0,0
